,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,SOC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG,geometry
7519,46643144,11,8.0,10.0,82.0,5.84,5.2,16.2,0.0,1.5,30.0,123.5,5.6,,2444,51.3,14.92,POINT (14.92 51.3)
7547,46623118,4,14.0,80.0,6.0,7.42,6.72,13.4,1.0,1.5,51.7,181.1,12.3,,2451,51.07,14.87,POINT (14.87 51.07)
7577,46603108,8,14.0,82.0,4.0,4.18,3.63,30.4,0.0,1.5,12.3,36.2,8.3,,2382,50.98,14.83,POINT (14.83 50.98)
7620,46563124,8,13.0,63.0,24.0,5.26,4.83,20.0,0.0,2.1,11.4,49.0,8.5,,2450,51.13,14.79,POINT (14.79 51.13)
7663,46543152,5,3.0,8.0,90.0,4.05,3.27,27.9,0.0,1.0,12.4,28.7,5.8,,2808,51.38,14.79,POINT (14.79 51.38)
7664,46543138,14,7.0,28.0,64.0,3.85,3.44,32.2,0.0,1.9,28.8,58.7,5.9,,1559,51.26,14.77,POINT (14.77 51.26)
7745,46483136,17,7.0,25.0,68.0,6.06,5.62,13.7,0.0,1.4,63.1,155.5,6.3,,2438,51.24,14.69,POINT (14.69 51.24)
7809,46443178,9,4.0,12.0,84.0,4.9,4.29,20.3,1.0,0.8,0.0,22.2,3.3,,2774,51.62,14.67,POINT (14.67 51.62)
7810,46443124,20,12.0,57.0,31.0,6.41,6.04,11.5,0.0,1.2,24.6,143.0,8.2,,2366,51.14,14.62,POINT (14.62 51.14)
7831,46423144,12,5.0,7.0,88.0,4.94,4.4,10.4,1.0,0.7,0.0,24.8,1.0,,1558,51.32,14.61,POINT (14.61 51.32)
7832,46423126,5,11.0,78.0,11.0,6.06,5.55,13.1,0.0,1.3,46.0,362.0,9.1,,2365,51.15,14.59,POINT (14.59 51.15)
7862,46403220,6,5.0,24.0,72.0,4.7,4.16,33.9,1.0,1.6,36.3,74.4,5.6,,2566,52.0,14.65,POINT (14.65 52)
7863,46403170,8,19.0,58.0,23.0,4.41,3.6,96.9,0.0,5.6,17.8,111.9,12.5,,2810,51.55,14.6,POINT (14.6 51.55)
7864,46403134,3,32.0,54.0,14.0,6.21,5.8,22.8,0.0,2.3,28.6,130.9,17.6,,1560,51.23,14.57,POINT (14.57 51.23)
7865,46403130,6,11.0,77.0,12.0,6.33,6.02,13.9,1.0,1.5,51.9,255.7,8.8,,2437,51.19,14.57,POINT (14.57 51.19)
7888,46383154,2,3.0,7.0,90.0,5.05,4.15,10.9,0.0,0.5,0.0,32.9,2.9,,2811,51.41,14.56,POINT (14.56 51.41)
7924,46363218,8,3.0,8.0,89.0,3.99,3.25,35.3,0.0,1.3,26.4,58.0,4.4,,2564,51.98,14.59,POINT (14.59 51.98)
7925,46363192,6,4.0,14.0,82.0,4.6,3.9,12.9,0.0,0.6,0.0,28.0,1.0,,2773,51.75,14.56,POINT (14.56 51.75)
7926,46363128,5,17.0,75.0,8.0,6.49,6.16,20.0,0.0,2.0,31.3,178.2,12.5,,2364,51.18,14.51,POINT (14.51 51.18)
7972,46323180,4,3.0,7.0,90.0,4.74,3.86,14.3,0.0,0.7,21.8,28.2,2.5,,2775,51.64,14.5,POINT (14.5 51.64)
7973,46323144,3,8.0,18.0,74.0,4.29,3.72,38.0,0.0,2.7,23.1,171.1,6.1,,1557,51.32,14.47,POINT (14.47 51.32)
7974,46323140,7,5.0,20.0,75.0,4.42,3.58,26.2,0.0,1.2,0.0,48.7,5.5,,1556,51.29,14.46,POINT (14.46 51.29)
7975,46323122,2,15.0,80.0,6.0,5.71,5.03,24.8,0.0,2.5,13.0,0.0,10.2,,1516,51.12,14.45,POINT (14.45 51.12)
7992,46303244,2,3.0,5.0,92.0,5.45,4.37,15.8,0.0,0.9,13.0,17.1,2.9,,2561,52.22,14.52,POINT (14.52 52.22)
7993,46303208,7,3.0,8.0,90.0,4.25,3.48,10.5,0.0,0.5,18.5,16.5,1.0,,2772,51.9,14.49,POINT (14.49 51.9)
7994,46303172,2,5.0,23.0,73.0,5.03,4.34,17.0,0.0,0.9,0.0,36.3,4.6,,2809,51.57,14.46,POINT (14.46 51.57)
8016,46283270,9,10.0,40.0,50.0,6.65,6.25,12.8,1.0,1.3,55.8,272.0,7.9,,2563,52.45,14.52,POINT (14.52 52.45)
8017,46283230,7,2.0,7.0,91.0,4.19,3.43,17.5,1.0,0.9,0.0,26.6,4.3,,2556,52.09,14.48,POINT (14.48 52.09)
8061,46263100,20,13.0,45.0,43.0,3.79,3.29,57.0,0.0,2.7,39.8,80.9,11.7,,2452,50.93,14.34,POINT (14.34 50.93)
8082,46243176,4,3.0,9.0,88.0,4.74,3.86,22.0,0.0,1.1,19.9,33.6,2.3,,2776,51.61,14.38,POINT (14.38 51.61)
8103,46223292,6,24.0,31.0,46.0,7.24,6.54,14.6,0.0,1.6,64.4,135.4,21.6,,2538,52.65,14.45,POINT (14.45 52.65)
8104,46223224,6,2.0,7.0,91.0,3.83,3.08,27.5,0.0,0.9,12.2,23.7,4.7,,2562,52.04,14.39,POINT (14.39 52.04)
8127,46203244,13,9.0,11.0,80.0,4.05,3.48,78.7,0.0,3.1,16.3,142.9,11.4,,2560,52.22,14.38,POINT (14.38 52.22)
8128,46203136,7,11.0,56.0,33.0,6.02,5.38,11.9,0.0,1.0,28.2,131.5,6.2,,1535,51.26,14.29,POINT (14.29 51.26)
8166,46183272,7,4.0,25.0,71.0,5.24,5.05,12.1,0.0,1.4,34.7,118.8,3.7,,2567,52.48,14.37,POINT (14.37 52.48)
8167,46183264,7,2.0,9.0,89.0,4.29,3.42,18.1,1.0,0.9,25.1,0.0,4.4,,2565,52.41,14.37,POINT (14.37 52.41)
8168,46183138,7,11.0,32.0,57.0,3.79,3.17,65.8,0.0,2.7,0.0,64.5,8.9,,1536,51.28,14.26,POINT (14.26 51.28)
8169,46183128,7,14.0,81.0,5.0,4.93,4.01,22.4,1.0,2.2,19.8,90.5,7.3,,1534,51.19,14.25,POINT (14.25 51.19)
8170,46183120,7,11.0,53.0,35.0,3.84,3.35,79.4,1.0,4.0,26.7,72.1,9.3,,1533,51.11,14.24,POINT (14.24 51.11)
8191,46163286,10,29.0,36.0,35.0,7.55,6.92,14.9,1.0,1.5,61.1,136.8,25.1,,2545,52.6,14.36,POINT (14.36 52.6)
8192,46163250,1,4.0,10.0,86.0,4.09,3.37,96.4,0.0,4.9,42.4,133.5,8.7,,2568,52.28,14.33,POINT (14.33 52.28)
8193,46163214,6,3.0,10.0,86.0,4.03,3.3,34.8,0.0,1.4,0.0,15.8,3.6,,2555,51.96,14.29,POINT (14.29 51.96)
8194,46163196,2,3.0,10.0,87.0,4.36,3.5,20.2,0.0,1.1,76.7,22.0,4.5,,2771,51.8,14.28,POINT (14.28 51.8)
8195,46163160,4,2.0,7.0,90.0,4.81,4.26,22.7,0.0,1.1,0.0,37.5,3.8,,2812,51.47,14.25,POINT (14.25 51.47)
8224,46143292,4,27.0,36.0,37.0,7.43,6.93,20.1,5.0,2.0,59.3,133.8,24.2,,2548,52.66,14.33,POINT (14.33 52.66)
8225,46143288,7,35.0,32.0,34.0,6.98,6.63,19.7,2.0,1.9,73.5,324.7,25.5,,2547,52.62,14.33,POINT (14.33 52.62)
8226,46143212,2,4.0,5.0,91.0,3.61,2.9,60.4,0.0,2.0,0.0,36.0,4.2,,2576,51.94,14.26,POINT (14.26 51.94)
8227,46143198,11,3.0,5.0,93.0,4.4,3.54,11.4,0.0,0.9,26.6,18.2,1.0,,2770,51.82,14.25,POINT (14.25 51.82)
8228,46143140,16,2.0,7.0,91.0,3.96,3.53,22.2,0.0,1.1,0.0,16.9,3.4,,1537,51.3,14.2,POINT (14.2 51.3)
8244,46123154,10,12.0,16.0,72.0,4.95,4.27,13.0,0.0,1.0,0.0,73.2,6.2,,2815,51.42,14.19,POINT (14.19 51.42)
8267,46103338,20,4.0,9.0,87.0,8.48,7.92,5.0,36.0,0.8,50.2,346.9,6.8,,2541,53.07,14.31,POINT (14.31 53.07)
8268,46103302,8,48.0,43.0,10.0,7.46,6.95,22.6,5.0,2.3,150.5,270.2,32.8,,2546,52.75,14.28,POINT (14.28 52.75)
8269,46103252,6,5.0,8.0,87.0,4.37,3.41,43.8,0.0,2.3,57.5,74.4,3.5,,2559,52.3,14.24,POINT (14.24 52.3)
8270,46103168,4,5.0,30.0,66.0,4.67,3.91,25.4,0.0,0.8,0.0,31.4,2.5,,2820,51.55,14.17,POINT (14.17 51.55)
8271,46103104,5,5.0,18.0,77.0,4.09,3.35,45.6,0.0,2.6,40.7,40.0,6.6,,1539,50.97,14.12,POINT (14.12 50.97)
8272,46103090,15,7.0,37.0,56.0,3.58,2.92,187.7,1.0,6.5,16.5,70.3,13.7,,1501,50.85,14.11,POINT (14.11 50.85)
8299,46083304,11,64.0,26.0,10.0,6.69,6.33,32.0,1.0,3.1,57.4,385.1,38.9,,2543,52.77,14.25,POINT (14.25 52.77)
8300,46083280,5,4.0,13.0,83.0,7.44,7.04,6.6,5.0,0.8,22.4,66.4,4.5,,2571,52.55,14.23,POINT (14.23 52.55)
8301,46083208,11,2.0,7.0,91.0,4.37,3.62,16.9,0.0,0.9,17.1,38.6,3.7,,2769,51.91,14.17,POINT (14.17 51.91)
8329,46063374,6,8.0,30.0,61.0,6.34,5.94,10.6,1.0,1.2,42.4,185.3,6.8,,1353,53.4,14.29,POINT (14.29 53.4)
8330,46063270,21,7.0,18.0,75.0,7.09,6.4,12.2,0.0,1.2,44.9,78.5,6.0,,2557,52.47,14.2,POINT (14.2 52.47)
8331,46063266,6,3.0,8.0,89.0,4.16,3.67,15.8,0.0,1.2,0.0,41.2,2.0,,2558,52.43,14.19,POINT (14.19 52.43)
8332,46063090,9,10.0,24.0,66.0,6.41,5.94,16.2,2.0,1.3,61.4,114.9,6.6,,2440,50.85,14.05,POINT (14.05 50.85)
8349,46043364,6,12.0,29.0,59.0,7.43,7.02,13.6,7.0,1.4,33.7,222.5,10.3,,1354,53.31,14.25,POINT (14.25 53.31)
8350,46043346,4,5.0,13.0,82.0,4.45,3.68,6.7,0.0,0.7,74.2,31.8,4.1,,1235,53.15,14.23,POINT (14.23 53.15)
8351,46043206,2,9.0,10.0,80.0,5.57,4.62,18.9,0.0,1.6,33.0,88.8,7.4,,2768,51.89,14.11,POINT (14.11 51.89)
8352,46043152,6,3.0,3.0,94.0,4.78,4.24,5.9,1.0,0.3,0.0,21.3,1.0,,2816,51.41,14.07,POINT (14.07 51.41)
8374,46023376,5,5.0,9.0,86.0,7.14,6.76,34.3,2.0,3.4,77.3,101.3,20.8,,1351,53.42,14.23,POINT (14.23 53.42)
8375,46023334,9,16.0,27.0,57.0,7.52,7.11,10.3,10.0,1.1,14.6,142.7,12.1,,2540,53.04,14.19,POINT (14.19 53.04)
8376,46023190,2,2.0,3.0,94.0,4.35,3.73,14.1,1.0,0.8,16.3,22.7,4.1,,2806,51.75,14.07,POINT (14.07 51.75)
8406,46003390,4,5.0,9.0,86.0,5.29,5.0,116.3,0.0,9.0,52.1,79.6,44.6,,1352,53.54,14.21,POINT (14.21 53.54)
8407,46003362,11,6.0,23.0,70.0,8.14,7.24,8.9,44.0,1.0,44.3,651.5,7.5,,1237,53.29,14.19,POINT (14.19 53.29)
8408,46003300,8,2.0,3.0,95.0,7.13,6.56,12.6,2.0,1.1,15.3,30.2,4.2,,2544,52.74,14.13,POINT (14.13 52.74)
8409,46003278,13,13.0,24.0,64.0,7.02,6.31,25.2,1.0,2.2,32.3,194.7,14.1,,2570,52.54,14.11,POINT (14.11 52.54)
8410,46003260,7,3.0,10.0,88.0,5.37,4.89,24.9,0.0,2.1,32.3,57.9,5.7,,2569,52.38,14.1,POINT (14.1 52.38)
8411,46003134,7,13.0,38.0,49.0,4.88,4.41,35.3,0.0,2.7,68.8,103.5,3.3,,1543,51.25,14.0,POINT (14 51.25)
